,Ratio_cumulative,Principal_ratio,software
0,0.0,0.0,RSEM
1,0.01,0.0,RSEM
2,0.02,0.0,RSEM
3,0.03,0.0,RSEM
4,0.04,0.0,RSEM
5,0.05,4.111334950458414e-05,RSEM
6,0.06,4.111334950458414e-05,RSEM
7,0.07,0.0001644533980183,RSEM
8,0.08,0.000287793446532,RSEM
9,0.09,0.0003700201455412,RSEM
10,0.1,0.0005344735435595,RSEM
11,0.11,0.0005755868930641,RSEM
12,0.12,0.000781153640587,RSEM
13,0.13,0.0011100604366237,RSEM
14,0.14,0.0011511737861283,RSEM
15,0.15,0.0012745138346421,RSEM
16,0.16,0.0013567405336512,RSEM
17,0.17,0.00197344077622,RSEM
18,0.18,0.0021378941742383,RSEM
19,0.19,0.0023023475722567,RSEM
20,0.2,0.0034124080088804,RSEM
21,0.21,0.0034124080088804,RSEM
22,0.22,0.0035357480573942,RSEM
23,0.23,0.0042346749989721,RSEM
24,0.24,0.0046869218435225,RSEM
25,0.25,0.0055091888336142,RSEM
26,0.26,0.0055914155326234,RSEM
27,0.27,0.0058380956296509,RSEM
28,0.28,0.0061670024256876,RSEM
29,0.29,0.0067837026682563,RSEM
30,0.3,0.0075648563088434,RSEM
31,0.31,0.0078526497553755,RSEM
32,0.32,0.0082637832504214,RSEM
33,0.33,0.0086338033959626,RSEM
34,0.34,0.0103605640751552,RSEM
35,0.35,0.0110594910167331,RSEM
36,0.36,0.0113883978127698,RSEM
37,0.37,0.0120050980553385,RSEM
38,0.38,0.0128273650454302,RSEM
39,0.39,0.0137729720840356,RSEM
40,0.4,0.0152530526662007,RSEM
41,0.41,0.0159930929572832,RSEM
42,0.42,0.0169798133453932,RSEM
43,0.43,0.0176376269374665,RSEM
44,0.44,0.0182954405295399,RSEM
45,0.45,0.0194055009661637,RSEM
46,0.46,0.0205155614027874,RSEM
47,0.47,0.0218723019364387,RSEM
48,0.48,0.0228179089750441,RSEM
49,0.49,0.0242568762077046,RSEM
50,0.5,0.0289437980512272,RSEM
51,0.51,0.0302594252353739,RSEM
52,0.52,0.0319039592155572,RSEM
53,0.53,0.0328495662541627,RSEM
54,0.54,0.0352341405254286,RSEM
55,0.55,0.0372898080006578,RSEM
56,0.56,0.0402499691649878,RSEM
57,0.5700000000000001,0.0425934300867491,RSEM
58,0.58,0.0448546643095012,RSEM
59,0.59,0.0476092587263084,RSEM
60,0.6,0.0513916868807301,RSEM
61,0.61,0.0535295810549685,RSEM
62,0.62,0.0569831024133536,RSEM
63,0.63,0.0604777371212432,RSEM
64,0.64,0.0623278378489495,RSEM
65,0.65,0.0654935657608025,RSEM
66,0.66,0.0688648604201784,RSEM
67,0.67,0.0736751223122147,RSEM
68,0.68,0.0770875303210952,RSEM
69,0.6900000000000001,0.0789376310488015,RSEM
70,0.7000000000000001,0.0828845126012416,RSEM
71,0.71,0.08600912716359,RSEM
72,0.72,0.0903671422110759,RSEM
73,0.73,0.093820663569461,RSEM
74,0.74,0.0961230111417177,RSEM
75,0.75,0.1013444065287999,RSEM
76,0.76,0.1046334744891666,RSEM
77,0.77,0.1090737162356617,RSEM
78,0.78,0.1142539982732393,RSEM
79,0.79,0.1164741191464868,RSEM
