Species,MAE
Arabidopsis,19.79
Arabidopsis,19.56
Arabidopsis,19.52
Arabidopsis,19.49
Arabidopsis,20.31
Arabidopsis,20.39
Arabidopsis,19.47
Arabidopsis,19.72
Arabidopsis,20.19
Arabidopsis,19.67
Cotton,27.26
Cotton,28.23
Cotton,27.18
Cotton,27.12
Cotton,27.04
Cotton,27.39
Cotton,27.27
Cotton,26.83
Cotton,26.34
Cotton,27.24
Rice,19.26
Rice,19.97
Rice,19.79
Rice,19.22
Rice,19.54
Rice,19.84
Rice,19.77
Rice,19.35
Rice,20.88
Rice,19.02
Maize,21.45
Maize,20.24
Maize,21.41
Maize,20.59
Maize,21.83
Maize,22.62
Maize,21.62
Maize,21.19
Maize,20.79
Maize,21.11
Soybean,25.28
Soybean,25.13
Soybean,25.31
Soybean,25.70
Soybean,25.44
Soybean,26.19
Soybean,25.87
Soybean,25.50
Soybean,26.21
Soybean,27.16
