X,ath,gab,zma,SUM
-150,0,0,0,0
-149,0,0,0,0
-148,0,0,0,0
-147,0,0,0,0
-146,0,0,0,0
-145,0,0,0,0
-144,0,1,0,1
-143,0,0,0,0
-142,0,1,0,1
-141,0,0,0,0
-140,0,0,0,0
-139,0,0,0,0
-138,0,1,1,2
-137,0,0,0,0
-136,0,0,0,0
-135,0,0,0,0
-134,0,0,0,0
-133,0,0,0,0
-132,0,0,0,0
-131,0,0,0,0
-130,0,0,0,0
-129,0,0,0,0
-128,0,1,0,1
-127,0,0,0,0
-126,0,0,0,0
-125,0,1,0,1
-124,0,2,0,2
-123,0,0,0,0
-122,0,0,0,0
-121,0,1,0,1
-120,0,1,0,1
-119,0,2,0,2
-118,0,0,0,0
-117,1,1,0,2
-116,0,0,1,1
-115,0,2,0,2
-114,0,0,0,0
-113,0,1,0,1
-112,0,0,0,0
-111,0,0,0,0
-110,0,2,0,2
-109,0,1,2,3
-108,0,0,0,0
-107,0,1,0,1
-106,0,1,1,2
-105,0,0,1,1
-104,0,1,0,1
-103,0,1,0,1
-102,0,0,0,0
-101,0,0,0,0
-100,0,1,0,1
-99,0,3,0,3
-98,0,0,0,0
-97,0,1,0,1
-96,0,3,0,3
-95,0,2,0,2
-94,0,1,0,1
-93,0,1,0,1
-92,0,2,2,4
-91,0,2,0,2
-90,0,1,0,1
-89,0,1,0,1
-88,0,1,0,1
-87,0,2,0,2
-86,0,2,1,3
-85,0,0,0,0
-84,0,4,0,4
-83,0,0,0,0
-82,0,3,1,4
-81,0,2,2,4
-80,1,4,1,6
-79,0,3,0,3
-78,0,3,0,3
-77,1,1,1,3
-76,1,0,0,1
-75,2,0,1,3
-74,1,4,1,6
-73,1,3,0,4
-72,0,2,0,2
-71,1,2,0,3
-70,0,3,0,3
-69,0,3,0,3
-68,1,4,0,5
-67,2,2,0,4
-66,1,4,1,6
-65,1,2,0,3
-64,3,3,0,6
-63,3,4,2,9
-62,1,1,1,3
-61,0,4,2,6
-60,1,8,3,12
-59,2,4,1,7
-58,7,6,2,15
-57,1,4,0,5
-56,8,3,2,13
-55,4,4,0,8
-54,2,3,1,6
-53,5,7,4,16
-52,5,8,1,14
-51,7,8,2,17
-50,5,5,1,11
-49,14,11,2,27
-48,10,12,2,24
-47,12,13,2,27
-46,15,7,5,27
-45,12,9,6,27
-44,13,9,9,31
-43,16,12,8,36
-42,15,6,9,30
-41,13,9,13,35
-40,21,8,13,42
-39,18,16,9,43
-38,24,13,19,56
-37,28,13,14,55
-36,26,15,12,53
-35,51,10,14,75
-34,39,13,11,63
-33,57,20,16,93
-32,46,11,22,79
-31,63,15,22,100
-30,58,18,29,105
-29,69,14,26,109
-28,62,30,23,115
-27,59,43,37,139
-26,103,35,34,172
-25,85,46,44,175
-24,114,65,56,235
-23,127,55,53,235
-22,107,58,63,228
-21,132,59,78,269
-20,155,72,79,306
-19,172,71,89,332
-18,179,88,88,355
-17,233,98,102,433
-16,226,157,101,484
-15,281,161,152,594
-14,324,157,198,679
-13,372,172,204,748
-12,404,238,263,905
-11,450,300,287,1037
-10,467,371,411,1249
-9,542,392,508,1442
-8,637,469,584,1690
-7,602,491,766,1859
-6,548,411,738,1697
-5,1459,4152,3001,8612
-4,901,1065,1794,3760
-3,656,890,1439,2985
-2,345,717,1104,2166
-1,154,507,605,1266
0,543,4131,3276,7950
1,581,4091,3198,7870
2,153,450,620,1223
3,336,725,1133,2194
4,627,901,1469,2997
5,886,1076,1765,3727
6,1495,4193,3010,8698
7,548,451,688,1687
8,595,472,770,1837
9,594,452,630,1676
10,544,420,486,1450
11,461,331,429,1221
12,437,302,278,1017
13,371,248,283,902
14,347,183,207,737
15,349,196,185,730
16,284,185,165,634
17,234,126,120,480
18,227,74,102,403
19,180,90,89,359
20,184,86,82,352
21,141,72,79,292
22,137,66,71,274
23,120,51,54,225
24,122,58,54,234
25,103,57,50,210
26,106,39,49,194
27,73,49,50,172
28,76,30,39,145
29,71,24,26,121
30,73,17,39,129
31,49,14,19,82
32,64,14,13,91
33,69,9,26,104
34,37,14,15,66
35,49,20,12,81
36,31,13,11,55
37,39,14,18,71
38,31,6,20,57
39,28,12,10,50
40,24,15,14,53
41,32,18,7,57
42,21,13,12,46
43,16,8,7,31
44,24,9,14,47
45,20,7,7,34
46,17,5,7,29
47,13,8,7,28
48,11,9,4,24
49,14,12,2,28
50,2,7,3,12
51,7,6,1,14
52,4,8,1,13
53,10,7,2,19
54,10,7,1,18
55,4,9,1,14
56,5,6,0,11
57,3,4,1,8
58,1,6,0,7
59,5,5,1,11
60,3,2,1,6
61,5,4,0,9
62,2,3,1,6
63,1,1,0,2
64,2,1,1,4
65,1,6,2,9
66,0,4,0,4
67,1,3,0,4
68,1,5,0,6
69,1,4,0,5
70,3,2,0,5
71,0,4,0,4
72,2,3,0,5
73,1,4,0,5
74,0,0,0,0
75,2,1,1,4
76,2,1,1,4
77,0,4,1,5
78,0,4,0,4
79,0,5,1,6
80,0,2,0,2
81,0,1,0,1
82,0,3,0,3
83,0,2,0,2
84,1,5,0,6
85,1,2,1,4
86,0,0,0,0
87,0,2,0,2
88,0,1,0,1
89,0,2,1,3
90,0,2,0,2
91,0,1,0,1
92,0,3,0,3
93,0,1,0,1
94,0,1,0,1
95,0,1,0,1
96,0,0,1,1
97,1,2,1,4
98,0,0,1,1
99,0,2,0,2
100,0,2,0,2
101,0,2,0,2
102,0,1,1,2
103,1,2,1,4
104,0,3,0,3
105,0,0,0,0
106,0,1,0,1
107,0,3,0,3
108,0,1,0,1
109,0,0,0,0
110,0,3,1,4
111,0,0,0,0
112,0,0,0,0
113,0,1,0,1
114,0,1,1,2
115,0,0,0,0
116,0,0,1,1
117,0,1,0,1
118,0,1,0,1
119,0,0,1,1
120,0,0,0,0
121,0,0,1,1
122,0,0,0,0
123,0,1,0,1
124,0,0,1,1
125,0,2,0,2
126,0,0,0,0
127,0,0,0,0
128,0,1,0,1
129,1,1,0,2
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,0,0,1,1
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
