"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
4.93246363500261e-08,280,1277,1.45690789386952,"Protein phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0006468","AT1G01100 AT1G01740 AT1G03780 AT1G04310 AT1G04700 AT1G07650 AT1G09440 AT1G09840 AT1G10210 AT1G10470 AT1G11130 AT1G11280 AT1G11330 AT1G12460 AT1G13350 AT1G14750 AT1G16260 AT1G16270 AT1G16760 AT1G22870 AT1G23700 AT1G24030 AT1G25390 AT1G27630 AT1G28390 AT1G29750 AT1G31420 AT1G33260 AT1G34110 AT1G34210 AT1G34460 AT1G45160 AT1G47210 AT1G48210 AT1G48490 AT1G49160 AT1G49340 AT1G50700 AT1G51620 AT1G51805 AT1G51840 AT1G51860 AT1G51880 AT1G51890 AT1G52310 AT1G53050 AT1G53090 AT1G53570 AT1G54510 AT1G54610 AT1G55200 AT1G55610 AT1G56120 AT1G56130 AT1G56145 AT1G56190 AT1G57870 AT1G58190 AT1G60800 AT1G60940 AT1G61420 AT1G61430 AT1G61460 AT1G61490 AT1G61500 AT1G61550 AT1G62950 AT1G63430 AT1G63700 AT1G64300 AT1G66880 AT1G66920 AT1G66930 AT1G67520 AT1G68690 AT1G70250 AT1G71410 AT1G71810 AT1G72990 AT1G77280 AT1G78290 AT1G78530 AT1G79250 AT1G79640 AT2G01450 AT2G02800 AT2G03890 AT2G07180 AT2G13800 AT2G15270 AT2G16750 AT2G17220 AT2G17530 AT2G20470 AT2G20495 AT2G24130 AT2G25220 AT2G25760 AT2G26980 AT2G27060 AT2G28930 AT2G28960 AT2G28970 AT2G28990 AT2G31010 AT2G32710 AT2G32800 AT2G32850 AT2G35050 AT2G35620 AT2G37840 AT2G40860 AT2G41890 AT2G42330 AT2G42640 AT2G42960 AT2G43690 AT2G43700 AT2G44680 AT2G44830 AT2G45910 AT2G46500 AT3G01085 AT3G02130 AT3G04580 AT3G04910 AT3G05840 AT3G06110 AT3G06630 AT3G07700 AT3G07980 AT3G08680 AT3G08720 AT3G09240 AT3G13380 AT3G13690 AT3G15354 AT3G16030 AT3G18040 AT3G18750 AT3G20200 AT3G20410 AT3G23610 AT3G24360 AT3G24715 AT3G29160 AT3G44200 AT3G45430 AT3G46590 AT3G46930 AT3G48190 AT3G49590 AT3G50230 AT3G52890 AT3G53570 AT3G53930 AT3G55450 AT3G56050 AT3G57740 AT3G57750 AT3G57760 AT3G57830 AT3G59350 AT3G59410 AT3G59730 AT3G61160 AT3G61420 AT3G63280 AT3G63340 AT4G01330 AT4G03230 AT4G04740 AT4G05200 AT4G11570 AT4G11890 AT4G11900 AT4G12020 AT4G13020 AT4G13190 AT4G17020 AT4G19110 AT4G19560 AT4G20450 AT4G21400 AT4G22130 AT4G22860 AT4G23050 AT4G23130 AT4G23160 AT4G23180 AT4G23190 AT4G23230 AT4G23250 AT4G23260 AT4G23270 AT4G23310 AT4G23320 AT4G24100 AT4G24740 AT4G26070 AT4G28860 AT4G28880 AT4G29380 AT4G31110 AT4G31170 AT4G31390 AT4G32250 AT4G32660 AT4G35030 AT4G35310 AT4G35500 AT4G36080 AT4G38230 AT4G39270 AT5G01060 AT5G01920 AT5G01950 AT5G02290 AT5G03640 AT5G03730 AT5G06740 AT5G07180 AT5G10290 AT5G10680 AT5G11020 AT5G13290 AT5G13530 AT5G14210 AT5G14640 AT5G15730 AT5G16810 AT5G16900 AT5G18500 AT5G18610 AT5G20480 AT5G21222 AT5G25380 AT5G25440 AT5G28680 AT5G35410 AT5G35580 AT5G35960 AT5G37450 AT5G38210 AT5G38280 AT5G39030 AT5G40380 AT5G40440 AT5G40460 AT5G40820 AT5G41180 AT5G41680 AT5G41730 AT5G44290 AT5G45190 AT5G45840 AT5G46330 AT5G47700 AT5G48630 AT5G49470 AT5G50330 AT5G51270 AT5G57565 AT5G57630 AT5G58140 AT5G58300 AT5G58540 AT5G58940 AT5G59010 AT5G59270 AT5G59660 AT5G61550 AT5G61560 AT5G61570 AT5G62710 AT5G63370 AT5G63710 AT5G65500 AT5G65700 AT5G66210"
2.75451908539909e-07,348,1689,1.36903501734763,"Phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0016310","AT1G01100 AT1G01220 AT1G01740 AT1G03440 AT1G03780 AT1G04310 AT1G04700 AT1G06750 AT1G07650 AT1G09440 AT1G09840 AT1G10210 AT1G10470 AT1G10760 AT1G11130 AT1G11280 AT1G11330 AT1G12460 AT1G13050 AT1G13320 AT1G13350 AT1G14750 AT1G16260 AT1G16270 AT1G16760 AT1G18270 AT1G22870 AT1G23700 AT1G24030 AT1G25390 AT1G26640 AT1G27630 AT1G28390 AT1G29750 AT1G31420 AT1G31910 AT1G33260 AT1G34110 AT1G34210 AT1G34260 AT1G34460 AT1G45160 AT1G47210 AT1G48210 AT1G48490 AT1G49160 AT1G49340 AT1G49350 AT1G50460 AT1G50700 AT1G50930 AT1G51620 AT1G51805 AT1G51840 AT1G51860 AT1G51880 AT1G51890 AT1G52310 AT1G53050 AT1G53090 AT1G53570 AT1G54510 AT1G54610 AT1G55200 AT1G55610 AT1G56120 AT1G56130 AT1G56145 AT1G56190 AT1G57870 AT1G58190 AT1G59312 AT1G60800 AT1G60940 AT1G61420 AT1G61430 AT1G61460 AT1G61490 AT1G61500 AT1G61550 AT1G62950 AT1G63430 AT1G63570 AT1G63700 AT1G64300 AT1G66880 AT1G66920 AT1G66930 AT1G67520 AT1G68690 AT1G70250 AT1G71410 AT1G71810 AT1G72990 AT1G73980 AT1G77280 AT1G77740 AT1G78290 AT1G78530 AT1G78590 AT1G79250 AT1G79640 AT2G01450 AT2G01460 AT2G02800 AT2G03890 AT2G07180 AT2G13800 AT2G15270 AT2G16750 AT2G17220 AT2G17530 AT2G20470 AT2G20495 AT2G20900 AT2G21370 AT2G21940 AT2G24130 AT2G25220 AT2G25760 AT2G26420 AT2G26980 AT2G27060 AT2G27490 AT2G28930 AT2G28960 AT2G28970 AT2G28990 AT2G31010 AT2G32710 AT2G32800 AT2G32850 AT2G35050 AT2G35620 AT2G36960 AT2G37840 AT2G39800 AT2G40860 AT2G40980 AT2G41880 AT2G41890 AT2G42330 AT2G42640 AT2G42960 AT2G43690 AT2G43700 AT2G44680 AT2G44830 AT2G45910 AT2G46500 AT2G47010 AT3G01085 AT3G02130 AT3G04580 AT3G04910 AT3G05840 AT3G06110 AT3G06630 AT3G07700 AT3G07980 AT3G08680 AT3G08720 AT3G09240 AT3G09920 AT3G10030 AT3G10700 AT3G13380 AT3G13690 AT3G15240 AT3G15354 AT3G16030 AT3G17470 AT3G18040 AT3G18750 AT3G20200 AT3G20410 AT3G20480 AT3G21070 AT3G21940 AT3G23610 AT3G24360 AT3G24715 AT3G26350 AT3G26900 AT3G27440 AT3G29160 AT3G42850 AT3G44200 AT3G45430 AT3G46590 AT3G46930 AT3G48190 AT3G49160 AT3G49590 AT3G50230 AT3G52890 AT3G53570 AT3G53930 AT3G54250 AT3G54320 AT3G55450 AT3G56050 AT3G56100 AT3G57740 AT3G57750 AT3G57760 AT3G57830 AT3G59350 AT3G59410 AT3G59680 AT3G59730 AT3G61160 AT3G61420 AT3G63280 AT3G63340 AT4G01330 AT4G02260 AT4G03230 AT4G04740 AT4G05200 AT4G09760 AT4G11570 AT4G11890 AT4G11900 AT4G12020 AT4G13020 AT4G13190 AT4G15530 AT4G17020 AT4G19110 AT4G19560 AT4G20450 AT4G21400 AT4G21534 AT4G21540 AT4G22130 AT4G22860 AT4G23050 AT4G23130 AT4G23160 AT4G23180 AT4G23190 AT4G23230 AT4G23250 AT4G23260 AT4G23270 AT4G23310 AT4G23320 AT4G23895 AT4G24100 AT4G24740 AT4G26070 AT4G26520 AT4G28706 AT4G28860 AT4G28880 AT4G29380 AT4G30820 AT4G31110 AT4G31170 AT4G31390 AT4G32250 AT4G32660 AT4G35030 AT4G35310 AT4G35500 AT4G36080 AT4G38230 AT4G39270 AT4G39380 AT5G01060 AT5G01920 AT5G01950 AT5G02290 AT5G03640 AT5G03730 AT5G04490 AT5G06740 AT5G07180 AT5G10290 AT5G10680 AT5G11020 AT5G11620 AT5G13290 AT5G13530 AT5G14210 AT5G14640 AT5G15070 AT5G15730 AT5G16810 AT5G16900 AT5G18500 AT5G18610 AT5G20480 AT5G21222 AT5G23450 AT5G23720 AT5G25380 AT5G25440 AT5G26667 AT5G28680 AT5G35410 AT5G35580 AT5G35960 AT5G37450 AT5G37850 AT5G38210 AT5G38280 AT5G39030 AT5G40380 AT5G40440 AT5G40450 AT5G40460 AT5G40820 AT5G41180 AT5G41680 AT5G41730 AT5G43910 AT5G44290 AT5G45190 AT5G45840 AT5G46330 AT5G47700 AT5G48630 AT5G49470 AT5G50330 AT5G50950 AT5G51270 AT5G57565 AT5G57630 AT5G58140 AT5G58300 AT5G58540 AT5G58940 AT5G59010 AT5G59270 AT5G59660 AT5G61550 AT5G61560 AT5G61570 AT5G62710 AT5G63370 AT5G63710 AT5G64910 AT5G65500 AT5G65690 AT5G65700 AT5G66210"
0.000681014987067758,135,605,1.48266609423634,"MRNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0016071","AT1G01040 AT1G02080 AT1G02840 AT1G03457 AT1G06960 AT1G07350 AT1G09140 AT1G09230 AT1G11400 AT1G12700 AT1G13350 AT1G14640 AT1G15200 AT1G15280 AT1G19790 AT1G20920 AT1G20960 AT1G23860 AT1G24706 AT1G28060 AT1G28260 AT1G30460 AT1G31500 AT1G44910 AT1G54385 AT1G55310 AT1G55500 AT1G61010 AT1G65440 AT1G66510 AT1G71770 AT1G79090 AT1G80000 AT2G02570 AT2G04270 AT2G17530 AT2G17970 AT2G20540 AT2G21660 AT2G25355 AT2G25850 AT2G29210 AT2G32415 AT2G35340 AT2G38610 AT2G41500 AT2G41720 AT2G42330 AT2G42890 AT2G43410 AT2G46200 AT2G46610 AT3G01540 AT3G03950 AT3G03970 AT3G07860 AT3G08620 AT3G12640 AT3G12990 AT3G13300 AT3G13460 AT3G14080 AT3G14700 AT3G17330 AT3G18610 AT3G19670 AT3G19840 AT3G20930 AT3G25430 AT3G27550 AT3G45590 AT3G45750 AT3G46210 AT3G50670 AT3G53460 AT3G54230 AT3G56860 AT3G62310 AT3G66652 AT4G00060 AT4G02430 AT4G03110 AT4G11970 AT4G16680 AT4G17410 AT4G22350 AT4G24500 AT4G24740 AT4G26480 AT4G27490 AT4G31200 AT4G32850 AT4G33360 AT4G34140 AT4G35500 AT4G35785 AT4G36690 AT4G39260 AT5G07350 AT5G08490 AT5G09860 AT5G09880 AT5G10630 AT5G10800 AT5G13480 AT5G16140 AT5G17440 AT5G18230 AT5G18810 AT5G19210 AT5G19400 AT5G27270 AT5G37370 AT5G37450 AT5G41690 AT5G42920 AT5G44780 AT5G45990 AT5G46400 AT5G47430 AT5G51410 AT5G55100 AT5G55390 AT5G56900 AT5G58190 AT5G58500 AT5G60870 AT5G61030 AT5G62290 AT5G62640 AT5G63120 AT5G63370 AT5G64200 AT5G64270 AT5G64390"
0.000681014987067758,10,13,5.11118511118511,"Diol metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0034311","AT1G07380 AT1G29810 AT2G38010 AT3G07270 AT3G48790 AT4G21534 AT4G21540 AT4G36480 AT5G23450 AT5G51110"
0.000681014987067758,10,13,5.11118511118511,"Diol biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0034312","AT1G07380 AT1G29810 AT2G38010 AT3G07270 AT3G48790 AT4G21534 AT4G21540 AT4G36480 AT5G23450 AT5G51110"
0.000681014987067758,163,760,1.42507911192122,"Regulation of response to stimulus "," http://amigo.geneontology.org/amigo/term/GO:0048583","AT1G03457 AT1G04310 AT1G07745 AT1G08810 AT1G10300 AT1G10390 AT1G10430 AT1G11310 AT1G13460 AT1G14685 AT1G17440 AT1G20160 AT1G28520 AT1G30460 AT1G32540 AT1G34370 AT1G42540 AT1G52400 AT1G53300 AT1G53570 AT1G56060 AT1G56190 AT1G69935 AT1G70700 AT1G71220 AT1G74950 AT1G75500 AT1G79190 AT2G01420 AT2G01930 AT2G15080 AT2G16365 AT2G17500 AT2G17770 AT2G21150 AT2G22300 AT2G23380 AT2G24790 AT2G25170 AT2G25760 AT2G26300 AT2G28290 AT2G31470 AT2G31865 AT2G31870 AT2G32460 AT2G32700 AT2G39550 AT2G42260 AT2G43010 AT2G43710 AT2G46370 AT2G47000 AT3G04580 AT3G05500 AT3G06110 AT3G07700 AT3G11180 AT3G11820 AT3G14150 AT3G14990 AT3G21880 AT3G23610 AT3G26090 AT3G27120 AT3G27960 AT3G29160 AT3G45430 AT3G48190 AT3G48670 AT3G50950 AT3G51480 AT3G51960 AT3G52150 AT3G55160 AT3G55450 AT3G56410 AT3G57750 AT3G59060 AT3G62150 AT4G00380 AT4G00830 AT4G00990 AT4G01895 AT4G02195 AT4G02550 AT4G03110 AT4G03490 AT4G04920 AT4G05040 AT4G11890 AT4G12560 AT4G12720 AT4G13040 AT4G14390 AT4G14400 AT4G15415 AT4G16380 AT4G16990 AT4G17410 AT4G18390 AT4G20310 AT4G20380 AT4G20400 AT4G23570 AT4G24580 AT4G25230 AT4G26120 AT4G26630 AT4G30200 AT4G31300 AT4G31550 AT4G31800 AT4G32730 AT4G32970 AT4G33360 AT4G37900 AT4G38200 AT4G39100 AT4G39830 AT5G03730 AT5G06100 AT5G06770 AT5G08130 AT5G08335 AT5G09230 AT5G11250 AT5G11510 AT5G13320 AT5G13530 AT5G13790 AT5G14930 AT5G18610 AT5G18620 AT5G19400 AT5G20480 AT5G20720 AT5G23320 AT5G25440 AT5G26240 AT5G35580 AT5G35620 AT5G36890 AT5G39500 AT5G40440 AT5G40820 AT5G41790 AT5G45050 AT5G45060 AT5G47710 AT5G49470 AT5G51910 AT5G60410 AT5G60870 AT5G61880 AT5G62090 AT5G62640 AT5G64910 AT5G65060 AT5G66070 AT5G66080 AT5G66210 AT5G66350"
0.000773765633700942,110,474,1.54198200611703,"Methylation "," http://amigo.geneontology.org/amigo/term/GO:0032259","AT1G01920 AT1G04050 AT1G05830 AT1G13860 AT1G15125 AT1G15215 AT1G16650 AT1G19340 AT1G19430 AT1G20330 AT1G21130 AT1G23360 AT1G26850 AT1G28060 AT1G29470 AT1G31850 AT1G43245 AT1G45248 AT1G50000 AT1G53250 AT1G54310 AT1G55450 AT1G60230 AT1G63855 AT1G78010 AT1G78240 AT1G80860 AT2G03480 AT2G16370 AT2G22740 AT2G23380 AT2G23740 AT2G27350 AT2G34300 AT2G35160 AT2G38810 AT2G39140 AT2G40020 AT2G43200 AT2G43320 AT2G43910 AT2G43920 AT3G03780 AT3G04380 AT3G06290 AT3G09670 AT3G13180 AT3G13440 AT3G14980 AT3G17310 AT3G20810 AT3G21300 AT3G23300 AT3G26850 AT3G27230 AT3G28460 AT3G48330 AT3G48670 AT3G51070 AT3G51290 AT3G55080 AT3G55160 AT3G56080 AT3G56570 AT4G00740 AT4G00830 AT4G04670 AT4G13330 AT4G13460 AT4G14140 AT4G17410 AT4G19020 AT4G19120 AT4G20130 AT4G20400 AT4G20920 AT4G22530 AT4G25080 AT4G26460 AT4G27340 AT4G28020 AT4G28830 AT4G30200 AT4G34570 AT4G40000 AT5G01230 AT5G01470 AT5G03670 AT5G04370 AT5G04940 AT5G06620 AT5G08335 AT5G09790 AT5G13660 AT5G20980 AT5G23320 AT5G26180 AT5G37990 AT5G38100 AT5G40830 AT5G40850 AT5G42400 AT5G43990 AT5G44450 AT5G44600 AT5G49160 AT5G50240 AT5G55390 AT5G59500 AT5G63080"
0.00086875642766494,242,1217,1.3212644502702,"Negative regulation of biological process "," http://amigo.geneontology.org/amigo/term/GO:0048519","AT1G01040 AT1G01060 AT1G01260 AT1G02080 AT1G03457 AT1G03710 AT1G03770 AT1G04050 AT1G04310 AT1G04650 AT1G05230 AT1G05420 AT1G08060 AT1G08810 AT1G09050 AT1G09060 AT1G10430 AT1G11310 AT1G11400 AT1G13460 AT1G15215 AT1G15280 AT1G15520 AT1G16060 AT1G17280 AT1G17920 AT1G19270 AT1G20160 AT1G20330 AT1G21610 AT1G23810 AT1G24020 AT1G24230 AT1G24706 AT1G25250 AT1G27370 AT1G28260 AT1G30210 AT1G30970 AT1G31280 AT1G31290 AT1G31500 AT1G32410 AT1G33240 AT1G35530 AT1G43850 AT1G47570 AT1G47720 AT1G48410 AT1G50690 AT1G55500 AT1G56310 AT1G59750 AT1G59890 AT1G65070 AT1G65470 AT1G66810 AT1G67740 AT1G68840 AT1G69510 AT1G69935 AT1G71770 AT1G74660 AT1G75080 AT1G75380 AT1G77000 AT1G77080 AT1G77320 AT1G79090 AT1G79280 AT1G79960 AT1G80000 AT1G80360 AT1G80650 AT2G05210 AT2G15270 AT2G16950 AT2G17970 AT2G18050 AT2G19910 AT2G21150 AT2G22540 AT2G25170 AT2G25355 AT2G25760 AT2G26300 AT2G27350 AT2G27840 AT2G29890 AT2G30370 AT2G30424 AT2G31470 AT2G32415 AT2G32550 AT2G32700 AT2G32710 AT2G34010 AT2G34780 AT2G35160 AT2G36010 AT2G39550 AT2G42260 AT2G43120 AT2G43410 AT2G46370 AT2G46790 AT2G46830 AT2G47210 AT3G01500 AT3G01540 AT3G01790 AT3G02860 AT3G03950 AT3G04580 AT3G05520 AT3G05640 AT3G06110 AT3G06290 AT3G09370 AT3G10480 AT3G10490 AT3G11440 AT3G11530 AT3G11820 AT3G12550 AT3G12640 AT3G12990 AT3G13300 AT3G13460 AT3G14080 AT3G14980 AT3G15140 AT3G15390 AT3G16570 AT3G16800 AT3G17330 AT3G19580 AT3G20010 AT3G21880 AT3G23450 AT3G23610 AT3G26090 AT3G26744 AT3G27010 AT3G27120 AT3G29575 AT3G30720 AT3G42670 AT3G43920 AT3G44750 AT3G46090 AT3G46210 AT3G48160 AT3G48670 AT3G49500 AT3G51960 AT3G52100 AT3G52150 AT3G53460 AT3G56860 AT3G63530 AT4G00060 AT4G00380 AT4G00830 AT4G03090 AT4G03110 AT4G08980 AT4G12560 AT4G13460 AT4G13850 AT4G13940 AT4G14550 AT4G15090 AT4G15415 AT4G17410 AT4G20380 AT4G20400 AT4G20920 AT4G24500 AT4G24580 AT4G24710 AT4G24800 AT4G26630 AT4G27490 AT4G30160 AT4G32730 AT4G33360 AT4G39100 AT5G02320 AT5G03730 AT5G06100 AT5G06250 AT5G06950 AT5G07350 AT5G08335 AT5G09230 AT5G09790 AT5G09860 AT5G10630 AT5G11510 AT5G13240 AT5G13530 AT5G13790 AT5G14960 AT5G18230 AT5G19400 AT5G20320 AT5G20510 AT5G20720 AT5G23320 AT5G26240 AT5G35580 AT5G35620 AT5G36740 AT5G40460 AT5G40820 AT5G43810 AT5G43990 AT5G44610 AT5G46880 AT5G47130 AT5G48760 AT5G49160 AT5G50430 AT5G52910 AT5G54260 AT5G56030 AT5G58140 AT5G58190 AT5G60410 AT5G60800 AT5G60870 AT5G60980 AT5G61880 AT5G62090 AT5G63120 AT5G63320 AT5G64390 AT5G65060 AT5G66070 AT5G66210 AT5G66350"
0.00158509626231099,201,993,1.34496744164418,"RNA processing "," http://amigo.geneontology.org/amigo/term/GO:0006396","AT1G01040 AT1G01080 AT1G01760 AT1G02840 AT1G04230 AT1G05970 AT1G06960 AT1G07350 AT1G07840 AT1G09140 AT1G09230 AT1G09800 AT1G12650 AT1G13350 AT1G14640 AT1G15200 AT1G15280 AT1G20920 AT1G20960 AT1G23860 AT1G24706 AT1G25682 AT1G28060 AT1G30460 AT1G31600 AT1G44910 AT1G45230 AT1G48175 AT1G48830 AT1G50000 AT1G51380 AT1G54385 AT1G55310 AT1G56310 AT1G60230 AT1G61010 AT1G62670 AT1G65440 AT1G66260 AT1G66510 AT1G72560 AT1G76170 AT1G78010 AT1G78910 AT1G79090 AT1G79880 AT1G80000 AT1G80650 AT2G02570 AT2G04270 AT2G17530 AT2G19910 AT2G21150 AT2G21660 AT2G25355 AT2G25850 AT2G29210 AT2G29760 AT2G31580 AT2G32340 AT2G32415 AT2G35340 AT2G38610 AT2G39140 AT2G40430 AT2G41500 AT2G41720 AT2G42330 AT2G42890 AT2G43190 AT2G43410 AT2G45330 AT2G46200 AT2G46610 AT2G48100 AT3G01160 AT3G01540 AT3G02370 AT3G03970 AT3G06290 AT3G06530 AT3G07530 AT3G07860 AT3G08620 AT3G09720 AT3G10490 AT3G12640 AT3G12990 AT3G13180 AT3G13225 AT3G13300 AT3G13740 AT3G14080 AT3G14700 AT3G15140 AT3G15390 AT3G18610 AT3G19670 AT3G19840 AT3G20930 AT3G21300 AT3G24080 AT3G24560 AT3G25430 AT3G27550 AT3G28230 AT3G43920 AT3G45590 AT3G45750 AT3G46210 AT3G48190 AT3G49500 AT3G49640 AT3G50670 AT3G51800 AT3G52150 AT3G53460 AT3G54230 AT3G55160 AT3G55170 AT3G62310 AT3G66652 AT4G00060 AT4G02430 AT4G02990 AT4G04670 AT4G04940 AT4G10130 AT4G11970 AT4G16680 AT4G17410 AT4G20060 AT4G20920 AT4G22350 AT4G22720 AT4G24270 AT4G24500 AT4G24740 AT4G26480 AT4G27340 AT4G27490 AT4G28020 AT4G28820 AT4G31200 AT4G32850 AT4G33360 AT4G34140 AT4G35500 AT4G35785 AT4G36690 AT4G38160 AT4G39260 AT4G40000 AT5G01230 AT5G07350 AT5G09860 AT5G09880 AT5G10070 AT5G10800 AT5G13480 AT5G13650 AT5G16140 AT5G17440 AT5G18380 AT5G18810 AT5G19040 AT5G19210 AT5G20320 AT5G24670 AT5G26180 AT5G26742 AT5G27270 AT5G36170 AT5G37370 AT5G37450 AT5G37530 AT5G41690 AT5G42920 AT5G44780 AT5G45990 AT5G46400 AT5G47430 AT5G51140 AT5G51410 AT5G55100 AT5G55130 AT5G55390 AT5G56900 AT5G60430 AT5G60870 AT5G61030 AT5G61770 AT5G62290 AT5G62640 AT5G63120 AT5G63370 AT5G64200 AT5G64270 AT5G64390 AT5G64710 AT5G66470"
0.00158509626231099,86,357,1.60064564546357,"RNA splicing "," http://amigo.geneontology.org/amigo/term/GO:0008380","AT1G02840 AT1G06960 AT1G07350 AT1G09140 AT1G09230 AT1G13350 AT1G14640 AT1G15200 AT1G15280 AT1G20920 AT1G20960 AT1G23860 AT1G24706 AT1G25682 AT1G28060 AT1G30460 AT1G44910 AT1G54385 AT1G55310 AT1G66510 AT1G80000 AT2G17530 AT2G21660 AT2G29210 AT2G35340 AT2G38610 AT2G41500 AT2G41720 AT2G42330 AT2G42890 AT2G43410 AT2G45330 AT2G46200 AT2G46610 AT3G02370 AT3G03970 AT3G07860 AT3G08620 AT3G13225 AT3G14700 AT3G18610 AT3G19670 AT3G19840 AT3G27550 AT3G45590 AT3G48190 AT3G50670 AT3G53460 AT3G54230 AT3G62310 AT4G02430 AT4G02990 AT4G11970 AT4G16680 AT4G22350 AT4G24500 AT4G26480 AT4G33360 AT4G34140 AT4G35500 AT4G35785 AT4G36690 AT4G39260 AT5G09860 AT5G10800 AT5G16140 AT5G17440 AT5G18810 AT5G19210 AT5G26742 AT5G27270 AT5G37370 AT5G37450 AT5G41690 AT5G42920 AT5G45990 AT5G46400 AT5G51410 AT5G55100 AT5G56900 AT5G60870 AT5G62290 AT5G62640 AT5G63370 AT5G64200 AT5G64270"
