Group,Total_bases,Tag_count,Tags/Kb,Sample,Tissue
CDS_Exons,33782947,18893156,559.25,DRX060399,leaf
5'UTR_Exons,10684009,5860824,548.56,DRX060399,leaf
3'UTR_Exons,11680263,2471473,211.59,DRX060399,leaf
Introns,18868686,2896770,153.52,DRX060399,leaf
TSS_up_1kb,19709864,70257,3.56,DRX060399,leaf
TSS_up_5kb,38556582,186071,4.83,DRX060399,leaf
TSS_up_10kb,42745767,293270,6.86,DRX060399,leaf
TES_down_1kb,15341749,107340,7.0,DRX060399,leaf
TES_down_5kb,34952125,223724,6.4,DRX060399,leaf
TES_down_10kb,41855492,276261,6.6,DRX060399,leaf
CDS_Exons,33782947,807970,23.92,DRX060400,leaf
5'UTR_Exons,10684009,702469,65.75,DRX060400,leaf
3'UTR_Exons,11680263,182842,15.65,DRX060400,leaf
Introns,18868686,66213,3.51,DRX060400,leaf
TSS_up_1kb,19709864,2168,0.11,DRX060400,leaf
TSS_up_5kb,38556582,3816,0.1,DRX060400,leaf
TSS_up_10kb,42745767,4116,0.1,DRX060400,leaf
TES_down_1kb,15341749,1661,0.11,DRX060400,leaf
TES_down_5kb,34952125,3163,0.09,DRX060400,leaf
TES_down_10kb,41855492,3259,0.08,DRX060400,leaf
CDS_Exons,33782947,321420,9.51,DRX087037,leaf
5'UTR_Exons,10684009,364199,34.09,DRX087037,leaf
3'UTR_Exons,11680263,24995,2.14,DRX087037,leaf
Introns,18868686,20820,1.1,DRX087037,leaf
TSS_up_1kb,19709864,341,0.02,DRX087037,leaf
TSS_up_5kb,38556582,533,0.01,DRX087037,leaf
TSS_up_10kb,42745767,610,0.01,DRX087037,leaf
TES_down_1kb,15341749,728,0.05,DRX087037,leaf
TES_down_5kb,34952125,1727,0.05,DRX087037,leaf
TES_down_10kb,41855492,1733,0.04,DRX087037,leaf
CDS_Exons,33782947,301221,8.92,DRX087036,leaf
5'UTR_Exons,10684009,330265,30.91,DRX087036,leaf
3'UTR_Exons,11680263,22440,1.92,DRX087036,leaf
Introns,18868686,17812,0.94,DRX087036,leaf
TSS_up_1kb,19709864,285,0.01,DRX087036,leaf
