Group,Total_bases,Tag_count,Tags/Kb,Sample,Tissue
CDS_Exons,50265615,24257382,482.58,SRX5085671,Ovule
5'UTR_Exons,4540282,8454887,1862.19,SRX5085671,Ovule
3'UTR_Exons,6160992,555517,90.17,SRX5085671,Ovule
Introns,75370106,1976762,26.23,SRX5085671,Ovule
TSS_up_1kb,39495842,846279,21.43,SRX5085671,Ovule
TSS_up_5kb,159493242,1241351,7.78,SRX5085671,Ovule
TSS_up_10kb,272110831,1432727,5.27,SRX5085671,Ovule
TES_down_1kb,35472067,173755,4.9,SRX5085671,Ovule
TES_down_5kb,139675049,573978,4.11,SRX5085671,Ovule
TES_down_10kb,248853848,724800,2.91,SRX5085671,Ovule
CDS_Exons,50265615,15570386,309.76,SRX5085670,Ovule
5'UTR_Exons,4540282,4104762,904.08,SRX5085670,Ovule
3'UTR_Exons,6160992,464986,75.47,SRX5085670,Ovule
Introns,75370106,1035312,13.74,SRX5085670,Ovule
TSS_up_1kb,39495842,423341,10.72,SRX5085670,Ovule
TSS_up_5kb,159493242,672813,4.22,SRX5085670,Ovule
TSS_up_10kb,272110831,777649,2.86,SRX5085670,Ovule
TES_down_1kb,35472067,97447,2.75,SRX5085670,Ovule
TES_down_5kb,139675049,311167,2.23,SRX5085670,Ovule
TES_down_10kb,248853848,395677,1.59,SRX5085670,Ovule
CDS_Exons,50265615,19423818,386.42,SRX5085664,Petal
5'UTR_Exons,4540282,4996659,1100.52,SRX5085664,Petal
3'UTR_Exons,6160992,616946,100.14,SRX5085664,Petal
Introns,75370106,1329138,17.63,SRX5085664,Petal
TSS_up_1kb,39495842,485013,12.28,SRX5085664,Petal
TSS_up_5kb,159493242,755136,4.73,SRX5085664,Petal
TSS_up_10kb,272110831,899677,3.31,SRX5085664,Petal
TES_down_1kb,35472067,117021,3.3,SRX5085664,Petal
TES_down_5kb,139675049,335106,2.4,SRX5085664,Petal
TES_down_10kb,248853848,461426,1.85,SRX5085664,Petal
CDS_Exons,50265615,10749016,213.84,SRX5085665,Seed
5'UTR_Exons,4540282,2777787,611.81,SRX5085665,Seed
3'UTR_Exons,6160992,819040,132.94,SRX5085665,Seed
Introns,75370106,1022619,13.57,SRX5085665,Seed
TSS_up_1kb,39495842,276871,7.01,SRX5085665,Seed
TSS_up_5kb,159493242,551003,3.45,SRX5085665,Seed
TSS_up_10kb,272110831,713916,2.62,SRX5085665,Seed
TES_down_1kb,35472067,162382,4.58,SRX5085665,Seed
TES_down_5kb,139675049,537251,3.85,SRX5085665,Seed
TES_down_10kb,248853848,664796,2.67,SRX5085665,Seed
CDS_Exons,50265615,14529275,289.05,SRX5085666,Anther
5'UTR_Exons,4540282,4031623,887.97,SRX5085666,Anther
3'UTR_Exons,6160992,343009,55.67,SRX5085666,Anther
Introns,75370106,1442152,19.13,SRX5085666,Anther
TSS_up_1kb,39495842,814564,20.62,SRX5085666,Anther
TSS_up_5kb,159493242,1113137,6.98,SRX5085666,Anther
TSS_up_10kb,272110831,1348700,4.96,SRX5085666,Anther
TES_down_1kb,35472067,218359,6.16,SRX5085666,Anther
TES_down_5kb,139675049,536826,3.84,SRX5085666,Anther
TES_down_10kb,248853848,741247,2.98,SRX5085666,Anther
CDS_Exons,50265615,22139498,440.45,SRX5085667,Stigma
5'UTR_Exons,4540282,6349082,1398.39,SRX5085667,Stigma
3'UTR_Exons,6160992,694087,112.66,SRX5085667,Stigma
Introns,75370106,2326724,30.87,SRX5085667,Stigma
TSS_up_1kb,39495842,794512,20.12,SRX5085667,Stigma
TSS_up_5kb,159493242,1110729,6.96,SRX5085667,Stigma
TSS_up_10kb,272110831,1364102,5.01,SRX5085667,Stigma
TES_down_1kb,35472067,264042,7.44,SRX5085667,Stigma
TES_down_5kb,139675049,589362,4.22,SRX5085667,Stigma
TES_down_10kb,248853848,758177,3.05,SRX5085667,Stigma
CDS_Exons,50265615,30472923,606.24,SRX5085668,Ovule
5'UTR_Exons,4540282,7587992,1671.26,SRX5085668,Ovule
3'UTR_Exons,6160992,946368,153.61,SRX5085668,Ovule
Introns,75370106,1969970,26.14,SRX5085668,Ovule
TSS_up_1kb,39495842,712279,18.03,SRX5085668,Ovule
TSS_up_5kb,159493242,1052750,6.6,SRX5085668,Ovule
TSS_up_10kb,272110831,1223320,4.5,SRX5085668,Ovule
TES_down_1kb,35472067,163512,4.61,SRX5085668,Ovule
TES_down_5kb,139675049,497951,3.57,SRX5085668,Ovule
TES_down_10kb,248853848,629520,2.53,SRX5085668,Ovule
CDS_Exons,50265615,28880096,574.55,SRX5085660,Seedling
5'UTR_Exons,4540282,6259521,1378.66,SRX5085660,Seedling
3'UTR_Exons,6160992,1008332,163.66,SRX5085660,Seedling
Introns,75370106,1997644,26.5,SRX5085660,Seedling
TSS_up_1kb,39495842,602691,15.26,SRX5085660,Seedling
TSS_up_5kb,159493242,885605,5.55,SRX5085660,Seedling
TSS_up_10kb,272110831,1021876,3.76,SRX5085660,Seedling
TES_down_1kb,35472067,177479,5.0,SRX5085660,Seedling
TES_down_5kb,139675049,452056,3.24,SRX5085660,Seedling
TES_down_10kb,248853848,561568,2.26,SRX5085660,Seedling
CDS_Exons,50265615,21440438,426.54,SRX5085631,Ovule
5'UTR_Exons,4540282,5761487,1268.97,SRX5085631,Ovule
3'UTR_Exons,6160992,1323877,214.88,SRX5085631,Ovule
Introns,75370106,2247489,29.82,SRX5085631,Ovule
TSS_up_1kb,39495842,586445,14.85,SRX5085631,Ovule
TSS_up_5kb,159493242,1080570,6.78,SRX5085631,Ovule
TSS_up_10kb,272110831,1509025,5.55,SRX5085631,Ovule
TES_down_1kb,35472067,398371,11.23,SRX5085631,Ovule
TES_down_5kb,139675049,998250,7.15,SRX5085631,Ovule
TES_down_10kb,248853848,1227455,4.93,SRX5085631,Ovule
CDS_Exons,50265615,26979825,536.75,SRX5085632,Seedling
5'UTR_Exons,4540282,7044770,1551.61,SRX5085632,Seedling
3'UTR_Exons,6160992,1773768,287.9,SRX5085632,Seedling
Introns,75370106,2875282,38.15,SRX5085632,Seedling
TSS_up_1kb,39495842,601653,15.23,SRX5085632,Seedling
