Group,Total_bases,Tag_count,Tags/Kb,Sample,Tissue
CDS_Exons,65618132,598566,9.12,DRX137670,leaf
5'UTR_Exons,20429641,559722,27.4,DRX137670,leaf
3'UTR_Exons,21598119,42024,1.95,DRX137670,leaf
Introns,105585075,114792,1.09,DRX137670,leaf
TSS_up_1kb,51117633,27815,0.54,DRX137670,leaf
TSS_up_5kb,187905398,51691,0.28,DRX137670,leaf
TSS_up_10kb,284552564,70544,0.25,DRX137670,leaf
TES_down_1kb,47042202,9235,0.2,DRX137670,leaf
TES_down_5kb,164741885,32058,0.19,DRX137670,leaf
TES_down_10kb,261367677,47816,0.18,DRX137670,leaf
CDS_Exons,65618132,876619,13.36,DRX137671,leaf
5'UTR_Exons,20429641,964223,47.2,DRX137671,leaf
3'UTR_Exons,21598119,69541,3.22,DRX137671,leaf
Introns,105585075,201685,1.91,DRX137671,leaf
TSS_up_1kb,51117633,55976,1.1,DRX137671,leaf
TSS_up_5kb,187905398,102067,0.54,DRX137671,leaf
TSS_up_10kb,284552564,139770,0.49,DRX137671,leaf
TES_down_1kb,47042202,18134,0.39,DRX137671,leaf
TES_down_5kb,164741885,61441,0.37,DRX137671,leaf
TES_down_10kb,261367677,93321,0.36,DRX137671,leaf
CDS_Exons,65618132,671146,10.23,DRX137672,stem
5'UTR_Exons,20429641,854180,41.81,DRX137672,stem
3'UTR_Exons,21598119,38764,1.79,DRX137672,stem
Introns,105585075,126070,1.19,DRX137672,stem
TSS_up_1kb,51117633,43240,0.85,DRX137672,stem
TSS_up_5kb,187905398,64926,0.35,DRX137672,stem
TSS_up_10kb,284552564,81410,0.29,DRX137672,stem
TES_down_1kb,47042202,9178,0.2,DRX137672,stem
TES_down_5kb,164741885,29447,0.18,DRX137672,stem
TES_down_10kb,261367677,43748,0.17,DRX137672,stem
CDS_Exons,65618132,819866,12.49,DRX137673,stem
5'UTR_Exons,20429641,874169,42.79,DRX137673,stem
3'UTR_Exons,21598119,65958,3.05,DRX137673,stem
Introns,105585075,203390,1.93,DRX137673,stem
TSS_up_1kb,51117633,51202,1.0,DRX137673,stem
TSS_up_5kb,187905398,102318,0.54,DRX137673,stem
TSS_up_10kb,284552564,147570,0.52,DRX137673,stem
TES_down_1kb,47042202,18481,0.39,DRX137673,stem
TES_down_5kb,164741885,66922,0.41,DRX137673,stem
TES_down_10kb,261367677,104460,0.4,DRX137673,stem
CDS_Exons,65618132,1203006,18.33,DRX137674,root
5'UTR_Exons,20429641,726006,35.54,DRX137674,root
3'UTR_Exons,21598119,109243,5.06,DRX137674,root
Introns,105585075,326776,3.09,DRX137674,root
TSS_up_1kb,51117633,33816,0.66,DRX137674,root
TSS_up_5kb,187905398,56115,0.3,DRX137674,root
TSS_up_10kb,284552564,70610,0.25,DRX137674,root
TES_down_1kb,47042202,17027,0.36,DRX137674,root
TES_down_5kb,164741885,41905,0.25,DRX137674,root
TES_down_10kb,261367677,56750,0.22,DRX137674,root
CDS_Exons,65618132,937213,14.28,DRX137675,root
5'UTR_Exons,20429641,628397,30.76,DRX137675,root
3'UTR_Exons,21598119,100297,4.64,DRX137675,root
Introns,105585075,290652,2.75,DRX137675,root
TSS_up_1kb,51117633,40090,0.78,DRX137675,root
TSS_up_5kb,187905398,98036,0.52,DRX137675,root
TSS_up_10kb,284552564,144062,0.51,DRX137675,root
TES_down_1kb,47042202,22875,0.49,DRX137675,root
TES_down_5kb,164741885,78096,0.47,DRX137675,root
TES_down_10kb,261367677,115185,0.44,DRX137675,root
