Group,Total_bases,Tag_count,Tags/Kb,Sample,Tissue
CDS_Exons,76891394,1029504,13.39,DRX119962,suspension cell
5'UTR_Exons,5686704,580615,102.1,DRX119962,suspension cell
3'UTR_Exons,10467568,67813,6.48,DRX119962,suspension cell
Introns,71376871,69773,0.98,DRX119962,suspension cell
TSS_up_1kb,49488405,31003,0.63,DRX119962,suspension cell
TSS_up_5kb,143296727,46618,0.33,DRX119962,suspension cell
TSS_up_10kb,182150693,51315,0.28,DRX119962,suspension cell
TES_down_1kb,43704526,6879,0.16,DRX119962,suspension cell
TES_down_5kb,128936855,18793,0.15,DRX119962,suspension cell
TES_down_10kb,174085152,24818,0.14,DRX119962,suspension cell
CDS_Exons,76891394,1005113,13.07,DRX119955,suspension cell
5'UTR_Exons,5686704,598950,105.32,DRX119955,suspension cell
3'UTR_Exons,10467568,59304,5.67,DRX119955,suspension cell
Introns,71376871,74803,1.05,DRX119955,suspension cell
TSS_up_1kb,49488405,34762,0.7,DRX119955,suspension cell
TSS_up_5kb,143296727,54022,0.38,DRX119955,suspension cell
TSS_up_10kb,182150693,59753,0.33,DRX119955,suspension cell
TES_down_1kb,43704526,8488,0.19,DRX119955,suspension cell
TES_down_5kb,128936855,23956,0.19,DRX119955,suspension cell
TES_down_10kb,174085152,31428,0.18,DRX119955,suspension cell
CDS_Exons,76891394,965543,12.56,DRX119956,suspension cell
5'UTR_Exons,5686704,612019,107.62,DRX119956,suspension cell
3'UTR_Exons,10467568,58734,5.61,DRX119956,suspension cell
Introns,71376871,79178,1.11,DRX119956,suspension cell
TSS_up_1kb,49488405,35702,0.72,DRX119956,suspension cell
TSS_up_5kb,143296727,55452,0.39,DRX119956,suspension cell
TSS_up_10kb,182150693,61231,0.34,DRX119956,suspension cell
TES_down_1kb,43704526,8708,0.2,DRX119956,suspension cell
TES_down_5kb,128936855,24545,0.19,DRX119956,suspension cell
TES_down_10kb,174085152,32149,0.18,DRX119956,suspension cell
CDS_Exons,76891394,1280272,16.65,DRX119957,suspension cell
5'UTR_Exons,5686704,677623,119.16,DRX119957,suspension cell
3'UTR_Exons,10467568,74262,7.09,DRX119957,suspension cell
Introns,71376871,72164,1.01,DRX119957,suspension cell
TSS_up_1kb,49488405,38346,0.77,DRX119957,suspension cell
TSS_up_5kb,143296727,57004,0.4,DRX119957,suspension cell
TSS_up_10kb,182150693,62470,0.34,DRX119957,suspension cell
TES_down_1kb,43704526,7613,0.17,DRX119957,suspension cell
TES_down_5kb,128936855,21258,0.16,DRX119957,suspension cell
TES_down_10kb,174085152,27792,0.16,DRX119957,suspension cell
CDS_Exons,76891394,1094696,14.24,DRX119958,suspension cell
5'UTR_Exons,5686704,608418,106.99,DRX119958,suspension cell
3'UTR_Exons,10467568,65507,6.26,DRX119958,suspension cell
Introns,71376871,62862,0.88,DRX119958,suspension cell
TSS_up_1kb,49488405,33258,0.67,DRX119958,suspension cell
TSS_up_5kb,143296727,49599,0.35,DRX119958,suspension cell
TSS_up_10kb,182150693,54697,0.3,DRX119958,suspension cell
TES_down_1kb,43704526,6536,0.15,DRX119958,suspension cell
TES_down_5kb,128936855,18488,0.14,DRX119958,suspension cell
TES_down_10kb,174085152,24485,0.14,DRX119958,suspension cell
CDS_Exons,76891394,803868,10.45,DRX119959,suspension cell
5'UTR_Exons,5686704,563139,99.03,DRX119959,suspension cell
3'UTR_Exons,10467568,38753,3.7,DRX119959,suspension cell
Introns,71376871,65447,0.92,DRX119959,suspension cell
TSS_up_1kb,49488405,30520,0.62,DRX119959,suspension cell
TSS_up_5kb,143296727,46932,0.33,DRX119959,suspension cell
TSS_up_10kb,182150693,51541,0.28,DRX119959,suspension cell
TES_down_1kb,43704526,7288,0.17,DRX119959,suspension cell
TES_down_5kb,128936855,20021,0.16,DRX119959,suspension cell
TES_down_10kb,174085152,25945,0.15,DRX119959,suspension cell
CDS_Exons,76891394,831901,10.82,DRX119960,suspension cell
5'UTR_Exons,5686704,546009,96.02,DRX119960,suspension cell
3'UTR_Exons,10467568,45479,4.34,DRX119960,suspension cell
Introns,71376871,70215,0.98,DRX119960,suspension cell
TSS_up_1kb,49488405,30123,0.61,DRX119960,suspension cell
TSS_up_5kb,143296727,46548,0.32,DRX119960,suspension cell
TSS_up_10kb,182150693,51282,0.28,DRX119960,suspension cell
TES_down_1kb,43704526,7621,0.17,DRX119960,suspension cell
TES_down_5kb,128936855,20751,0.16,DRX119960,suspension cell
TES_down_10kb,174085152,26732,0.15,DRX119960,suspension cell
CDS_Exons,76891394,1240579,16.13,DRX119961,suspension cell
5'UTR_Exons,5686704,658761,115.84,DRX119961,suspension cell
3'UTR_Exons,10467568,65885,6.29,DRX119961,suspension cell
Introns,71376871,75748,1.06,DRX119961,suspension cell
TSS_up_1kb,49488405,37517,0.76,DRX119961,suspension cell
TSS_up_5kb,143296727,56272,0.39,DRX119961,suspension cell
TSS_up_10kb,182150693,61995,0.34,DRX119961,suspension cell
TES_down_1kb,43704526,7460,0.17,DRX119961,suspension cell
TES_down_5kb,128936855,20861,0.16,DRX119961,suspension cell
TES_down_10kb,174085152,27525,0.16,DRX119961,suspension cell
