Group,Total_bases,Tag_count,Tags/Kb,Sample,Tissue
CDS_Exons,43681838,102071,2.34,SRX1073152,Root
5'UTR_Exons,9023513,129979,14.4,SRX1073152,Root
3'UTR_Exons,12191555,4857,0.4,SRX1073152,Root
Introns,110272921,62201,0.56,SRX1073152,Root
TSS_up_1kb,35568942,37296,1.05,SRX1073152,Root
TSS_up_5kb,159069076,61817,0.39,SRX1073152,Root
TSS_up_10kb,297230076,74788,0.25,SRX1073152,Root
TES_down_1kb,33513130,4134,0.12,SRX1073152,Root
TES_down_5kb,145170740,40393,0.28,SRX1073152,Root
TES_down_10kb,275494766,54896,0.2,SRX1073152,Root
CDS_Exons,43681838,127569,2.92,SRX1073151,Root
5'UTR_Exons,9023513,155680,17.25,SRX1073151,Root
3'UTR_Exons,12191555,5700,0.47,SRX1073151,Root
Introns,110272921,74326,0.67,SRX1073151,Root
TSS_up_1kb,35568942,41340,1.16,SRX1073151,Root
TSS_up_5kb,159069076,69912,0.44,SRX1073151,Root
TSS_up_10kb,297230076,85267,0.29,SRX1073151,Root
TES_down_1kb,33513130,4963,0.15,SRX1073151,Root
TES_down_5kb,145170740,45954,0.32,SRX1073151,Root
TES_down_10kb,275494766,63353,0.23,SRX1073151,Root
CDS_Exons,43681838,129056,2.95,SRX1073150,Shoot
5'UTR_Exons,9023513,202887,22.48,SRX1073150,Shoot
3'UTR_Exons,12191555,8271,0.68,SRX1073150,Shoot
Introns,110272921,35905,0.33,SRX1073150,Shoot
TSS_up_1kb,35568942,25653,0.72,SRX1073150,Shoot
TSS_up_5kb,159069076,42844,0.27,SRX1073150,Shoot
TSS_up_10kb,297230076,54281,0.18,SRX1073150,Shoot
TES_down_1kb,33513130,4783,0.14,SRX1073150,Shoot
TES_down_5kb,145170740,26586,0.18,SRX1073150,Shoot
TES_down_10kb,275494766,35725,0.13,SRX1073150,Shoot
CDS_Exons,43681838,161320,3.69,SRX1073149,Shoot
5'UTR_Exons,9023513,173425,19.22,SRX1073149,Shoot
3'UTR_Exons,12191555,8813,0.72,SRX1073149,Shoot
Introns,110272921,91133,0.83,SRX1073149,Shoot
TSS_up_1kb,35568942,52174,1.47,SRX1073149,Shoot
TSS_up_5kb,159069076,92131,0.58,SRX1073149,Shoot
TSS_up_10kb,297230076,116324,0.39,SRX1073149,Shoot
TES_down_1kb,33513130,7358,0.22,SRX1073149,Shoot
TES_down_5kb,145170740,64092,0.44,SRX1073149,Shoot
TES_down_10kb,275494766,87336,0.32,SRX1073149,Shoot
CDS_Exons,43681838,8483490,194.21,SRX3804731,Endosperm
5'UTR_Exons,9023513,1661505,184.13,SRX3804731,Endosperm
3'UTR_Exons,12191555,374905,30.75,SRX3804731,Endosperm
Introns,110272921,338993,3.07,SRX3804731,Endosperm
TSS_up_1kb,35568942,65567,1.84,SRX3804731,Endosperm
TSS_up_5kb,159069076,230209,1.45,SRX3804731,Endosperm
TSS_up_10kb,297230076,309308,1.04,SRX3804731,Endosperm
TES_down_1kb,33513130,58565,1.75,SRX3804731,Endosperm
TES_down_5kb,145170740,159625,1.1,SRX3804731,Endosperm
TES_down_10kb,275494766,223898,0.81,SRX3804731,Endosperm
CDS_Exons,43681838,14257289,326.39,SRX3804733,CNs
5'UTR_Exons,9023513,3028907,335.67,SRX3804733,CNs
3'UTR_Exons,12191555,862816,70.77,SRX3804733,CNs
Introns,110272921,626647,5.68,SRX3804733,CNs
TSS_up_1kb,35568942,109124,3.07,SRX3804733,CNs
TSS_up_5kb,159069076,281148,1.77,SRX3804733,CNs
TSS_up_10kb,297230076,409364,1.38,SRX3804733,CNs
TES_down_1kb,33513130,98707,2.95,SRX3804733,CNs
TES_down_5kb,145170740,241780,1.67,SRX3804733,CNs
TES_down_10kb,275494766,338728,1.23,SRX3804733,CNs
CDS_Exons,43681838,9821140,224.83,SRX3804730,Root
5'UTR_Exons,9023513,2305005,255.44,SRX3804730,Root
3'UTR_Exons,12191555,555712,45.58,SRX3804730,Root
Introns,110272921,389998,3.54,SRX3804730,Root
TSS_up_1kb,35568942,80378,2.26,SRX3804730,Root
TSS_up_5kb,159069076,223311,1.4,SRX3804730,Root
TSS_up_10kb,297230076,337769,1.14,SRX3804730,Root
TES_down_1kb,33513130,67639,2.02,SRX3804730,Root
TES_down_5kb,145170740,163837,1.13,SRX3804730,Root
TES_down_10kb,275494766,234679,0.85,SRX3804730,Root
CDS_Exons,43681838,11521900,263.77,SRX3804732,Ears
5'UTR_Exons,9023513,2885505,319.78,SRX3804732,Ears
3'UTR_Exons,12191555,579439,47.53,SRX3804732,Ears
Introns,110272921,639067,5.8,SRX3804732,Ears
TSS_up_1kb,35568942,102503,2.88,SRX3804732,Ears
TSS_up_5kb,159069076,261693,1.65,SRX3804732,Ears
TSS_up_10kb,297230076,364841,1.23,SRX3804732,Ears
TES_down_1kb,33513130,78307,2.34,SRX3804732,Ears
TES_down_5kb,145170740,197679,1.36,SRX3804732,Ears
TES_down_10kb,275494766,291473,1.06,SRX3804732,Ears
CDS_Exons,43681838,7726403,176.88,SRX3804729,Endosperm
5'UTR_Exons,9023513,1534396,170.04,SRX3804729,Endosperm
3'UTR_Exons,12191555,383481,31.45,SRX3804729,Endosperm
Introns,110272921,344035,3.12,SRX3804729,Endosperm
TSS_up_1kb,35568942,62580,1.76,SRX3804729,Endosperm
TSS_up_5kb,159069076,234240,1.47,SRX3804729,Endosperm
TSS_up_10kb,297230076,313610,1.06,SRX3804729,Endosperm
TES_down_1kb,33513130,57912,1.73,SRX3804729,Endosperm
TES_down_5kb,145170740,154102,1.06,SRX3804729,Endosperm
TES_down_10kb,275494766,215237,0.78,SRX3804729,Endosperm
CDS_Exons,43681838,9690204,221.84,SRX3804728,Pollen
5'UTR_Exons,9023513,1459452,161.74,SRX3804728,Pollen
3'UTR_Exons,12191555,753984,61.84,SRX3804728,Pollen
Introns,110272921,333975,3.03,SRX3804728,Pollen
TSS_up_1kb,35568942,90297,2.54,SRX3804728,Pollen
TSS_up_5kb,159069076,285164,1.79,SRX3804728,Pollen
TSS_up_10kb,297230076,356180,1.2,SRX3804728,Pollen
TES_down_1kb,33513130,119683,3.57,SRX3804728,Pollen
TES_down_5kb,145170740,234124,1.61,SRX3804728,Pollen
TES_down_10kb,275494766,292079,1.06,SRX3804728,Pollen
CDS_Exons,43681838,11868790,271.71,SRX3804726,Root
5'UTR_Exons,9023513,2307677,255.74,SRX3804726,Root
3'UTR_Exons,12191555,636210,52.18,SRX3804726,Root
Introns,110272921,470548,4.27,SRX3804726,Root
TSS_up_1kb,35568942,93990,2.64,SRX3804726,Root
TSS_up_5kb,159069076,245140,1.54,SRX3804726,Root
TSS_up_10kb,297230076,394189,1.33,SRX3804726,Root
TES_down_1kb,33513130,84777,2.53,SRX3804726,Root
TES_down_5kb,145170740,200774,1.38,SRX3804726,Root
TES_down_10kb,275494766,295898,1.07,SRX3804726,Root
CDS_Exons,43681838,11669043,267.14,SRX3804719,CNs
5'UTR_Exons,9023513,2221922,246.24,SRX3804719,CNs
3'UTR_Exons,12191555,672527,55.16,SRX3804719,CNs
Introns,110272921,460848,4.18,SRX3804719,CNs
TSS_up_1kb,35568942,90445,2.54,SRX3804719,CNs
TSS_up_5kb,159069076,238397,1.5,SRX3804719,CNs
TSS_up_10kb,297230076,374217,1.26,SRX3804719,CNs
TES_down_1kb,33513130,88341,2.64,SRX3804719,CNs
TES_down_5kb,145170740,214895,1.48,SRX3804719,CNs
TES_down_10kb,275494766,303862,1.1,SRX3804719,CNs
CDS_Exons,43681838,11716504,268.22,SRX3804717,Pollen
5'UTR_Exons,9023513,1607239,178.12,SRX3804717,Pollen
3'UTR_Exons,12191555,894084,73.34,SRX3804717,Pollen
Introns,110272921,336335,3.05,SRX3804717,Pollen
TSS_up_1kb,35568942,93631,2.63,SRX3804717,Pollen
TSS_up_5kb,159069076,272911,1.72,SRX3804717,Pollen
TSS_up_10kb,297230076,349347,1.18,SRX3804717,Pollen
TES_down_1kb,33513130,136280,4.07,SRX3804717,Pollen
TES_down_5kb,145170740,258855,1.78,SRX3804717,Pollen
TES_down_10kb,275494766,325094,1.18,SRX3804717,Pollen
CDS_Exons,43681838,11618858,265.99,SRX3804714,Ears
5'UTR_Exons,9023513,2464847,273.16,SRX3804714,Ears
3'UTR_Exons,12191555,587388,48.18,SRX3804714,Ears
Introns,110272921,639403,5.8,SRX3804714,Ears
TSS_up_1kb,35568942,97004,2.73,SRX3804714,Ears
TSS_up_5kb,159069076,247482,1.56,SRX3804714,Ears
TSS_up_10kb,297230076,361518,1.22,SRX3804714,Ears
TES_down_1kb,33513130,79673,2.38,SRX3804714,Ears
TES_down_5kb,145170740,203499,1.4,SRX3804714,Ears
TES_down_10kb,275494766,297706,1.08,SRX3804714,Ears
