species,stype,ROC,PR
ath,species_specific_each_self,0.983,0.985
ath,species_specific_other_species,0.934,0.934
ath,species_specific_other_species,0.954,0.957
ath,species_specific_other_species,0.964,0.965
ath,species_specific_other_species,0.944,0.946
ath,general,0.975,0.977
osa,species_specific_other_species,0.911,0.904
osa,species_specific_each_self,0.985,0.985
osa,species_specific_other_species,0.92,0.916
osa,species_specific_other_species,0.905,0.901
osa,species_specific_other_species,0.978,0.976
osa,general,0.975,0.972
gab,species_specific_other_species,0.961,0.958
gab,species_specific_other_species,0.895,0.899
gab,species_specific_each_self,0.978,0.978
gab,species_specific_other_species,0.953,0.956
gab,species_specific_other_species,0.953,0.953
gab,general,0.943,0.944
gmx,species_specific_other_species,0.963,0.964
gmx,species_specific_other_species,0.936,0.936
gmx,species_specific_other_species,0.962,0.962
gmx,species_specific_each_self,0.97,0.972
gmx,species_specific_other_species,0.949,0.949
gmx,general,0.967,0.969
zma,species_specific_other_species,0.888,0.884
zma,species_specific_other_species,0.968,0.965
zma,species_specific_other_species,0.917,0.916
zma,species_specific_other_species,0.907,0.894
zma,species_specific_each_self,0.985,0.986
zma,general,0.967,0.966
