R2,Species,Type
0.6,cotton,species_specific_self
0.72,cotton,species_specific_other
0.67,cotton,species_specific_other
0.59,cotton,species_specific_other
0.63,cotton,species_specific_other
0.72,maize,species_specific_self
0.74,maize,species_specific_other
0.5,maize,species_specific_other
0.52,maize,species_specific_other
0.64,maize,species_specific_other
0.8,rice,species_specific_self
0.62,rice,species_specific_other
0.49,rice,species_specific_other
0.54,rice,species_specific_other
0.59,rice,species_specific_other
0.64,soybean,species_specific_self
0.73,soybean,species_specific_other
0.49,soybean,species_specific_other
0.67,soybean,species_specific_other
0.64,soybean,species_specific_other
0.76,ath,species_specific_self
0.74,ath,species_specific_other
0.56,ath,species_specific_other
0.58,ath,species_specific_other
0.63,ath,species_specific_other
0.72,plant,general
0.55,plant,general
0.64,plant,general
0.71,plant,general
0.56,plant,general
