Model,MAE
5leaderL,18.271220225475833
5leaderL,22.074198780924522
5leaderL,23.053254423115494
5leaderL,26.16321065196532
5leaderL,21.445201145463304
TransPrise,62.866092962972
TransPrise,62.7622531673075
TransPrise,65.64081221880797
TransPrise,67.17898004855252
TransPrise,61.46369474734402
TSSFinder,64.30827067669173
TSSFinder,53.2406015037594
TSSFinder,102.12781954887218
TSSFinder,54.371212121212125
TSSFinder,75.59848484848484
TSSPlant,88.5
TSSPlant,84.33613445378151
TSSPlant,82.33613445378151
TSSPlant,84.56302521008404
TSSPlant,71.87394957983193
