Model,MAE
5leaderL,18.4594254771265
5leaderL,20.121612647825778
5leaderL,18.719074916134062
5leaderL,19.987063797060074
5leaderL,19.36918760317377
TransPrise,56.473384282360335
TransPrise,60.232934646477595
TransPrise,60.83073689536731
TransPrise,64.35787394229921
TransPrise,55.6336479493639
TSSFinder,231.1259259259259
TSSFinder,237.48888888888888
TSSFinder,388.8888888888889
TSSFinder,216.46666666666667
TSSFinder,353.46268656716416
TSSPlant,49.39007092198582
TSSPlant,52.0
TSSPlant,52.730496453900706
TSSPlant,49.297872340425535
TSSPlant,46.836879432624116
