Position,ReadCount,Source,ts,leader5
130,237.0,5RACE,Os11g16970.1,143
133,2.0,5RACE,Os11g16970.1,143
135,3.0,5RACE,Os11g16970.1,143
1,0.0,5leaderP,Os11g16970.1,143
2,0.0,5leaderP,Os11g16970.1,143
3,0.0,5leaderP,Os11g16970.1,143
4,0.0,5leaderP,Os11g16970.1,143
5,0.0,5leaderP,Os11g16970.1,143
6,0.0,5leaderP,Os11g16970.1,143
7,0.0,5leaderP,Os11g16970.1,143
8,0.0,5leaderP,Os11g16970.1,143
9,0.0,5leaderP,Os11g16970.1,143
10,0.0,5leaderP,Os11g16970.1,143
11,0.0,5leaderP,Os11g16970.1,143
12,0.0,5leaderP,Os11g16970.1,143
13,0.0,5leaderP,Os11g16970.1,143
14,0.0,5leaderP,Os11g16970.1,143
15,0.0,5leaderP,Os11g16970.1,143
16,0.0,5leaderP,Os11g16970.1,143
17,0.0,5leaderP,Os11g16970.1,143
18,0.0,5leaderP,Os11g16970.1,143
19,0.0,5leaderP,Os11g16970.1,143
20,0.0,5leaderP,Os11g16970.1,143
21,0.0,5leaderP,Os11g16970.1,143
22,0.0,5leaderP,Os11g16970.1,143
23,0.0,5leaderP,Os11g16970.1,143
24,0.0,5leaderP,Os11g16970.1,143
25,0.0,5leaderP,Os11g16970.1,143
26,0.0,5leaderP,Os11g16970.1,143
27,0.0,5leaderP,Os11g16970.1,143
28,0.0,5leaderP,Os11g16970.1,143
29,0.0,5leaderP,Os11g16970.1,143
30,0.0,5leaderP,Os11g16970.1,143
31,0.0,5leaderP,Os11g16970.1,143
32,0.0,5leaderP,Os11g16970.1,143
33,0.0,5leaderP,Os11g16970.1,143
34,0.0,5leaderP,Os11g16970.1,143
35,0.0,5leaderP,Os11g16970.1,143
36,0.0,5leaderP,Os11g16970.1,143
37,0.0,5leaderP,Os11g16970.1,143
38,0.0,5leaderP,Os11g16970.1,143
39,0.0,5leaderP,Os11g16970.1,143
40,0.0,5leaderP,Os11g16970.1,143
41,0.0,5leaderP,Os11g16970.1,143
42,0.0,5leaderP,Os11g16970.1,143
43,0.0,5leaderP,Os11g16970.1,143
44,0.0,5leaderP,Os11g16970.1,143
45,0.0,5leaderP,Os11g16970.1,143
46,0.0,5leaderP,Os11g16970.1,143
47,0.0,5leaderP,Os11g16970.1,143
48,0.0,5leaderP,Os11g16970.1,143
49,0.0,5leaderP,Os11g16970.1,143
50,0.0,5leaderP,Os11g16970.1,143
51,0.0,5leaderP,Os11g16970.1,143
52,0.0,5leaderP,Os11g16970.1,143
53,0.0,5leaderP,Os11g16970.1,143
54,0.0,5leaderP,Os11g16970.1,143
55,0.0,5leaderP,Os11g16970.1,143
56,0.0,5leaderP,Os11g16970.1,143
57,0.0,5leaderP,Os11g16970.1,143
58,0.0,5leaderP,Os11g16970.1,143
59,0.0,5leaderP,Os11g16970.1,143
60,0.0,5leaderP,Os11g16970.1,143
61,0.0,5leaderP,Os11g16970.1,143
62,0.0,5leaderP,Os11g16970.1,143
63,0.0,5leaderP,Os11g16970.1,143
64,0.0,5leaderP,Os11g16970.1,143
65,0.0,5leaderP,Os11g16970.1,143
66,0.0,5leaderP,Os11g16970.1,143
67,0.0,5leaderP,Os11g16970.1,143
68,0.0,5leaderP,Os11g16970.1,143
69,0.0,5leaderP,Os11g16970.1,143
70,0.0,5leaderP,Os11g16970.1,143
71,0.0,5leaderP,Os11g16970.1,143
72,0.0,5leaderP,Os11g16970.1,143
73,0.0,5leaderP,Os11g16970.1,143
74,0.0,5leaderP,Os11g16970.1,143
75,0.0,5leaderP,Os11g16970.1,143
76,0.0,5leaderP,Os11g16970.1,143
77,0.0,5leaderP,Os11g16970.1,143
78,0.0,5leaderP,Os11g16970.1,143
79,0.0,5leaderP,Os11g16970.1,143
80,0.0,5leaderP,Os11g16970.1,143
81,0.0,5leaderP,Os11g16970.1,143
82,0.0,5leaderP,Os11g16970.1,143
83,0.0,5leaderP,Os11g16970.1,143
84,0.0,5leaderP,Os11g16970.1,143
85,0.0,5leaderP,Os11g16970.1,143
86,0.0,5leaderP,Os11g16970.1,143
87,0.0,5leaderP,Os11g16970.1,143
88,0.0,5leaderP,Os11g16970.1,143
89,0.0,5leaderP,Os11g16970.1,143
90,23.700000000000003,5leaderP,Os11g16970.1,143
91,0.0,5leaderP,Os11g16970.1,143
92,0.0,5leaderP,Os11g16970.1,143
93,0.0,5leaderP,Os11g16970.1,143
94,0.0,5leaderP,Os11g16970.1,143
95,0.0,5leaderP,Os11g16970.1,143
96,0.0,5leaderP,Os11g16970.1,143
97,0.0,5leaderP,Os11g16970.1,143
98,0.0,5leaderP,Os11g16970.1,143
99,0.0,5leaderP,Os11g16970.1,143
100,0.0,5leaderP,Os11g16970.1,143
101,0.0,5leaderP,Os11g16970.1,143
102,0.0,5leaderP,Os11g16970.1,143
103,0.0,5leaderP,Os11g16970.1,143
104,0.0,5leaderP,Os11g16970.1,143
105,0.0,5leaderP,Os11g16970.1,143
106,0.0,5leaderP,Os11g16970.1,143
107,0.0,5leaderP,Os11g16970.1,143
108,0.0,5leaderP,Os11g16970.1,143
109,0.0,5leaderP,Os11g16970.1,143
110,0.0,5leaderP,Os11g16970.1,143
111,0.0,5leaderP,Os11g16970.1,143
112,0.0,5leaderP,Os11g16970.1,143
113,0.0,5leaderP,Os11g16970.1,143
114,0.0,5leaderP,Os11g16970.1,143
115,118.5,5leaderP,Os11g16970.1,143
116,0.0,5leaderP,Os11g16970.1,143
117,0.0,5leaderP,Os11g16970.1,143
118,0.0,5leaderP,Os11g16970.1,143
119,0.0,5leaderP,Os11g16970.1,143
120,0.0,5leaderP,Os11g16970.1,143
121,0.0,5leaderP,Os11g16970.1,143
122,0.0,5leaderP,Os11g16970.1,143
123,0.0,5leaderP,Os11g16970.1,143
124,0.0,5leaderP,Os11g16970.1,143
125,0.0,5leaderP,Os11g16970.1,143
126,0.0,5leaderP,Os11g16970.1,143
127,0.0,5leaderP,Os11g16970.1,143
128,0.0,5leaderP,Os11g16970.1,143
129,0.0,5leaderP,Os11g16970.1,143
130,0.0,5leaderP,Os11g16970.1,143
131,0.0,5leaderP,Os11g16970.1,143
132,0.0,5leaderP,Os11g16970.1,143
133,0.0,5leaderP,Os11g16970.1,143
134,0.0,5leaderP,Os11g16970.1,143
135,0.0,5leaderP,Os11g16970.1,143
136,0.0,5leaderP,Os11g16970.1,143
137,0.0,5leaderP,Os11g16970.1,143
138,0.0,5leaderP,Os11g16970.1,143
139,0.0,5leaderP,Os11g16970.1,143
140,23.700000000000003,5leaderP,Os11g16970.1,143
141,0.0,5leaderP,Os11g16970.1,143
142,0.0,5leaderP,Os11g16970.1,143
143,0.0,5leaderP,Os11g16970.1,143
