Position,ReadCount,Source,ts,leader5
102,25.0,5RACE,AT4G36990.1,483
1,0.0,5leaderP,AT4G36990.1,483
2,0.0,5leaderP,AT4G36990.1,483
3,0.0,5leaderP,AT4G36990.1,483
4,0.0,5leaderP,AT4G36990.1,483
5,0.0,5leaderP,AT4G36990.1,483
6,0.0,5leaderP,AT4G36990.1,483
7,0.0,5leaderP,AT4G36990.1,483
8,0.0,5leaderP,AT4G36990.1,483
9,0.0,5leaderP,AT4G36990.1,483
10,0.0,5leaderP,AT4G36990.1,483
11,0.0,5leaderP,AT4G36990.1,483
12,0.0,5leaderP,AT4G36990.1,483
13,0.0,5leaderP,AT4G36990.1,483
14,0.0,5leaderP,AT4G36990.1,483
15,0.0,5leaderP,AT4G36990.1,483
16,0.0,5leaderP,AT4G36990.1,483
17,0.0,5leaderP,AT4G36990.1,483
18,0.0,5leaderP,AT4G36990.1,483
19,0.0,5leaderP,AT4G36990.1,483
20,0.0,5leaderP,AT4G36990.1,483
21,0.0,5leaderP,AT4G36990.1,483
22,0.0,5leaderP,AT4G36990.1,483
23,0.0,5leaderP,AT4G36990.1,483
24,0.0,5leaderP,AT4G36990.1,483
25,0.0,5leaderP,AT4G36990.1,483
26,0.0,5leaderP,AT4G36990.1,483
27,0.0,5leaderP,AT4G36990.1,483
28,0.0,5leaderP,AT4G36990.1,483
29,0.0,5leaderP,AT4G36990.1,483
30,0.0,5leaderP,AT4G36990.1,483
31,0.0,5leaderP,AT4G36990.1,483
32,0.0,5leaderP,AT4G36990.1,483
33,0.0,5leaderP,AT4G36990.1,483
34,0.0,5leaderP,AT4G36990.1,483
35,0.0,5leaderP,AT4G36990.1,483
36,0.0,5leaderP,AT4G36990.1,483
37,0.0,5leaderP,AT4G36990.1,483
38,0.0,5leaderP,AT4G36990.1,483
39,0.0,5leaderP,AT4G36990.1,483
40,0.0,5leaderP,AT4G36990.1,483
41,0.0,5leaderP,AT4G36990.1,483
42,0.0,5leaderP,AT4G36990.1,483
43,0.0,5leaderP,AT4G36990.1,483
44,0.0,5leaderP,AT4G36990.1,483
45,0.0,5leaderP,AT4G36990.1,483
46,0.0,5leaderP,AT4G36990.1,483
47,0.0,5leaderP,AT4G36990.1,483
48,0.0,5leaderP,AT4G36990.1,483
49,0.0,5leaderP,AT4G36990.1,483
50,0.0,5leaderP,AT4G36990.1,483
51,0.0,5leaderP,AT4G36990.1,483
52,0.0,5leaderP,AT4G36990.1,483
53,0.0,5leaderP,AT4G36990.1,483
54,0.0,5leaderP,AT4G36990.1,483
55,0.0,5leaderP,AT4G36990.1,483
56,0.0,5leaderP,AT4G36990.1,483
57,0.0,5leaderP,AT4G36990.1,483
58,0.0,5leaderP,AT4G36990.1,483
59,0.0,5leaderP,AT4G36990.1,483
60,0.0,5leaderP,AT4G36990.1,483
61,0.0,5leaderP,AT4G36990.1,483
62,0.0,5leaderP,AT4G36990.1,483
63,0.0,5leaderP,AT4G36990.1,483
64,0.0,5leaderP,AT4G36990.1,483
65,0.0,5leaderP,AT4G36990.1,483
66,0.0,5leaderP,AT4G36990.1,483
67,0.0,5leaderP,AT4G36990.1,483
68,0.0,5leaderP,AT4G36990.1,483
69,0.0,5leaderP,AT4G36990.1,483
70,0.0,5leaderP,AT4G36990.1,483
71,0.0,5leaderP,AT4G36990.1,483
72,0.0,5leaderP,AT4G36990.1,483
73,0.0,5leaderP,AT4G36990.1,483
74,0.0,5leaderP,AT4G36990.1,483
75,0.0,5leaderP,AT4G36990.1,483
76,0.0,5leaderP,AT4G36990.1,483
77,0.0,5leaderP,AT4G36990.1,483
78,0.0,5leaderP,AT4G36990.1,483
79,0.0,5leaderP,AT4G36990.1,483
80,0.0,5leaderP,AT4G36990.1,483
81,0.0,5leaderP,AT4G36990.1,483
82,0.0,5leaderP,AT4G36990.1,483
83,0.0,5leaderP,AT4G36990.1,483
