Position,ReadCount,Source,ts,leader5
1,2.0,5RACE,AT2G16595.1,236
112,31.0,5RACE,AT2G16595.1,236
113,33281.0,5RACE,AT2G16595.1,236
114,69.0,5RACE,AT2G16595.1,236
115,118.0,5RACE,AT2G16595.1,236
116,25.0,5RACE,AT2G16595.1,236
117,198.0,5RACE,AT2G16595.1,236
118,163.0,5RACE,AT2G16595.1,236
119,25704.0,5RACE,AT2G16595.1,236
120,52.0,5RACE,AT2G16595.1,236
121,67.0,5RACE,AT2G16595.1,236
122,487.0,5RACE,AT2G16595.1,236
123,130.0,5RACE,AT2G16595.1,236
124,228.0,5RACE,AT2G16595.1,236
125,172114.0,5RACE,AT2G16595.1,236
126,347.0,5RACE,AT2G16595.1,236
127,353.0,5RACE,AT2G16595.1,236
128,757025.0,5RACE,AT2G16595.1,236
129,3944.0,5RACE,AT2G16595.1,236
130,40116.0,5RACE,AT2G16595.1,236
131,3757.0,5RACE,AT2G16595.1,236
132,4224.0,5RACE,AT2G16595.1,236
133,434.0,5RACE,AT2G16595.1,236
134,224568.0,5RACE,AT2G16595.1,236
135,2106.0,5RACE,AT2G16595.1,236
136,331347.0,5RACE,AT2G16595.1,236
137,1769.0,5RACE,AT2G16595.1,236
138,1958.0,5RACE,AT2G16595.1,236
139,2751.0,5RACE,AT2G16595.1,236
140,398.0,5RACE,AT2G16595.1,236
141,1163.0,5RACE,AT2G16595.1,236
142,314.0,5RACE,AT2G16595.1,236
143,351.0,5RACE,AT2G16595.1,236
144,47.0,5RACE,AT2G16595.1,236
145,21.0,5RACE,AT2G16595.1,236
146,9.0,5RACE,AT2G16595.1,236
147,10.0,5RACE,AT2G16595.1,236
148,13.0,5RACE,AT2G16595.1,236
149,9.0,5RACE,AT2G16595.1,236
150,9.0,5RACE,AT2G16595.1,236
151,1.0,5RACE,AT2G16595.1,236
152,5.0,5RACE,AT2G16595.1,236
153,2.0,5RACE,AT2G16595.1,236
154,1.0,5RACE,AT2G16595.1,236
155,1.0,5RACE,AT2G16595.1,236
157,2.0,5RACE,AT2G16595.1,236
158,101235.0,5RACE,AT2G16595.1,236
159,417.0,5RACE,AT2G16595.1,236
160,106.0,5RACE,AT2G16595.1,236
161,45.0,5RACE,AT2G16595.1,236
162,346.0,5RACE,AT2G16595.1,236
163,7.0,5RACE,AT2G16595.1,236
164,12.0,5RACE,AT2G16595.1,236
165,5.0,5RACE,AT2G16595.1,236
166,15.0,5RACE,AT2G16595.1,236
167,1.0,5RACE,AT2G16595.1,236
170,2.0,5RACE,AT2G16595.1,236
171,830.0,5RACE,AT2G16595.1,236
172,114224.0,5RACE,AT2G16595.1,236
173,153.0,5RACE,AT2G16595.1,236
174,108.0,5RACE,AT2G16595.1,236
